Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	2.476170	2.213605	12.212000	14.160000	
0.100000	2.105854	1.939842	17.808000	20.850000	
0.100000	1.859672	2.310453	25.514000	18.460000	
0.100000	1.654672	1.740354	34.256000	33.640000	
0.100000	1.399844	1.533783	47.242000	46.230000	
0.100000	1.165746	1.479371	58.220000	49.800000	
0.100000	0.995616	1.110468	65.002000	63.770000	
0.100000	0.887504	0.957568	69.362000	67.800000	
0.100000	0.798674	1.238444	73.202000	59.910000	
0.100000	0.732318	0.899863	75.674000	71.570000	
0.100000	0.697992	0.988644	77.244000	70.350000	
0.100000	0.668630	0.887122	78.152000	71.540000	
0.100000	0.647283	1.245525	79.176000	62.430000	
0.100000	0.630887	0.860605	79.504000	72.360000	
0.100000	0.614157	0.782131	80.224000	74.380000	
0.100000	0.596544	1.117144	80.510000	64.810000	
0.100000	0.585383	0.829555	81.388000	72.930000	
0.100000	0.578055	0.858650	81.560000	73.540000	
0.100000	0.568698	0.811756	81.806000	76.720000	
0.100000	0.552531	0.989116	82.264000	72.530000	
0.100000	0.546189	0.606071	82.134000	80.440000	
0.100000	0.541572	0.839968	82.796000	75.240000	
0.100000	0.533577	0.708739	82.834000	78.890000	
0.100000	0.519073	0.688369	83.350000	78.660000	
0.100000	0.524388	0.900056	83.082000	73.110000	
0.100000	0.513520	0.756393	83.380000	77.220000	
0.100000	0.512145	0.578556	83.652000	81.870000	
0.100000	0.507559	0.830979	83.772000	75.140000	
0.100000	0.503244	0.686051	83.662000	78.080000	
0.100000	0.498436	0.936916	84.044000	73.330000	
0.100000	0.492439	0.830470	84.222000	75.190000	
0.100000	0.487052	0.789565	84.348000	76.030000	
0.100000	0.485525	0.782271	84.390000	76.470000	
0.100000	0.481049	0.724221	84.412000	78.470000	
0.100000	0.483250	0.612559	84.552000	80.840000	
0.100000	0.473640	0.675432	84.740000	78.480000	
0.100000	0.473411	0.650611	84.630000	80.140000	
0.100000	0.464296	0.702690	84.948000	77.520000	
0.100000	0.466470	0.891708	84.798000	73.840000	
0.100000	0.459459	0.851057	85.202000	74.890000	
0.100000	0.459332	0.772651	85.262000	78.640000	
0.100000	0.454753	0.642261	85.260000	80.300000	
0.100000	0.456102	0.528317	85.382000	83.070000	
0.100000	0.450234	0.637307	85.458000	80.100000	
0.100000	0.454255	0.819040	85.218000	76.380000	
0.100000	0.446980	0.755047	85.586000	77.140000	
0.100000	0.451143	0.757858	85.352000	76.370000	
0.100000	0.446262	0.609158	85.632000	81.130000	
0.100000	0.446691	0.752457	85.590000	76.880000	
0.100000	0.440661	0.796860	85.888000	76.530000	
0.100000	0.442642	0.641898	85.534000	81.350000	
0.100000	0.438151	0.564897	85.730000	81.580000	
0.100000	0.432354	0.562437	85.874000	82.310000	
0.100000	0.427139	0.564592	86.190000	82.240000	
0.100000	0.436271	0.728902	86.014000	78.140000	
0.100000	0.438804	0.788338	85.806000	75.520000	
0.100000	0.429977	0.758748	86.190000	77.430000	
0.100000	0.430060	0.830742	86.104000	74.890000	
0.100000	0.427764	0.588056	86.078000	81.010000	
0.100000	0.422198	0.759681	86.316000	75.860000	
0.100000	0.425251	0.670269	86.264000	78.130000	
0.100000	0.425568	0.570157	86.290000	82.560000	
0.100000	0.434376	0.875611	85.916000	74.370000	
0.100000	0.440262	0.677636	85.838000	80.080000	
0.100000	0.427357	0.621692	86.182000	80.900000	
0.100000	0.425948	0.647228	86.266000	79.630000	
0.100000	0.421716	0.935156	86.152000	73.120000	
0.100000	0.420832	0.626898	86.402000	80.130000	
0.100000	0.422436	0.574073	86.372000	81.000000	
0.100000	0.414459	0.601894	86.532000	81.490000	
0.100000	0.422467	0.556641	86.298000	81.610000	
0.100000	0.414113	0.851861	86.680000	75.610000	
0.100000	0.427444	0.835689	86.170000	76.640000	
0.100000	0.424478	0.593495	86.090000	81.410000	
0.100000	0.416002	0.815618	86.472000	76.940000	
0.100000	0.421959	0.654943	86.430000	78.900000	
0.100000	0.418312	0.662310	86.394000	79.800000	
0.100000	0.414393	0.722700	86.542000	77.260000	
0.100000	0.423300	0.737465	86.206000	76.830000	
0.100000	0.413609	0.789425	86.676000	76.430000	
0.100000	0.425700	0.503509	86.222000	84.020000	
0.010000	0.223630	0.260665	92.670000	91.520000	
0.010000	0.170016	0.258673	94.382000	91.790000	
0.010000	0.144214	0.259945	95.328000	91.870000	
0.010000	0.132136	0.251096	95.596000	91.970000	
0.010000	0.121865	0.246906	96.010000	92.510000	
0.010000	0.109996	0.253654	96.370000	92.290000	
0.010000	0.103211	0.268188	96.508000	92.120000	
0.010000	0.094879	0.263516	96.798000	92.220000	
0.010000	0.086750	0.283457	97.206000	91.890000	
0.010000	0.083603	0.288061	97.244000	91.760000	
0.010000	0.078030	0.287875	97.392000	91.790000	
0.010000	0.071938	0.285793	97.584000	92.190000	
0.010000	0.072148	0.311551	97.608000	91.490000	
0.010000	0.068993	0.304417	97.604000	91.730000	
0.010000	0.065312	0.328649	97.772000	91.230000	
0.010000	0.065473	0.295689	97.814000	91.910000	
0.010000	0.063567	0.303860	97.886000	91.680000	
0.010000	0.061861	0.345515	97.896000	91.240000	
0.010000	0.060219	0.298594	97.992000	91.920000	
0.010000	0.062951	0.304719	97.958000	91.900000	
0.010000	0.063401	0.308706	97.806000	91.790000	
0.010000	0.062450	0.354646	97.916000	91.280000	
0.010000	0.063740	0.316287	97.834000	91.860000	
0.010000	0.065598	0.327341	97.832000	91.340000	
0.010000	0.063016	0.348926	97.874000	90.710000	
0.010000	0.059286	0.340758	98.048000	91.030000	
0.010000	0.062331	0.326389	97.876000	91.330000	
0.010000	0.064464	0.335971	97.812000	90.890000	
0.010000	0.060491	0.331645	97.964000	91.430000	
0.010000	0.066212	0.353057	97.788000	90.750000	
0.010000	0.063357	0.329502	97.896000	91.140000	
0.010000	0.067010	0.327893	97.816000	91.560000	
0.010000	0.059959	0.353643	98.024000	90.670000	
0.010000	0.068968	0.348288	97.640000	90.920000	
0.010000	0.066335	0.353476	97.834000	90.550000	
0.010000	0.068074	0.355468	97.636000	90.660000	
0.010000	0.068756	0.350767	97.652000	90.610000	
0.010000	0.070987	0.359762	97.566000	90.510000	
0.010000	0.068740	0.369383	97.706000	90.650000	
0.010000	0.068634	0.347586	97.678000	90.840000	
0.010000	0.067892	0.326903	97.714000	91.180000	
0.001000	0.033299	0.273115	98.938000	92.720000	
0.001000	0.020344	0.274253	99.398000	92.840000	
0.001000	0.015892	0.277646	99.570000	92.950000	
0.001000	0.013198	0.280430	99.622000	92.970000	
0.001000	0.013097	0.284600	99.608000	93.040000	
0.001000	0.010698	0.288728	99.728000	93.140000	
0.001000	0.009911	0.293199	99.732000	93.010000	
0.001000	0.008843	0.296327	99.766000	92.950000	
0.001000	0.007994	0.298216	99.784000	93.090000	
0.001000	0.008261	0.298361	99.766000	92.930000	
0.001000	0.008140	0.303556	99.776000	92.940000	
0.001000	0.006928	0.305142	99.802000	92.990000	
0.001000	0.006210	0.304031	99.846000	93.180000	
0.001000	0.005568	0.303939	99.868000	93.200000	
0.001000	0.005987	0.308340	99.842000	93.200000	
0.001000	0.005880	0.303161	99.852000	93.290000	
0.001000	0.005379	0.306267	99.864000	93.220000	
0.001000	0.005250	0.308313	99.880000	93.320000	
0.001000	0.005003	0.308708	99.894000	93.100000	
0.001000	0.005463	0.312997	99.860000	93.050000	
0.001000	0.004604	0.313305	99.890000	93.250000	
0.001000	0.003954	0.315426	99.910000	93.260000	
0.001000	0.004859	0.314311	99.892000	93.160000	
0.001000	0.003812	0.317227	99.916000	93.080000	
0.001000	0.003695	0.320146	99.912000	93.070000	
0.001000	0.003436	0.321889	99.928000	93.050000	
0.001000	0.003849	0.318309	99.912000	93.150000	
0.001000	0.004169	0.325990	99.898000	93.140000	
0.001000	0.003256	0.327268	99.924000	93.200000	
0.001000	0.003390	0.323134	99.920000	93.270000	
0.001000	0.003556	0.323873	99.908000	93.200000	
0.001000	0.003680	0.326386	99.916000	93.090000	
0.001000	0.004308	0.328092	99.896000	93.130000	
0.001000	0.003251	0.323372	99.928000	93.070000	
0.001000	0.002983	0.330283	99.936000	93.010000	
0.001000	0.003357	0.333057	99.922000	93.020000	
0.001000	0.003148	0.330201	99.940000	93.170000	
0.001000	0.003043	0.329893	99.938000	93.340000	
0.001000	0.003185	0.328750	99.914000	93.230000	
0.001000	0.003033	0.328266	99.934000	93.130000	
0.001000	0.002641	0.329742	99.952000	93.270000	
0.001000	0.002582	0.331010	99.944000	93.280000	
